site,date,evi,tag
HARV,2002-07-04,0.5859,training
SJER,2002-07-04,0.233,training
HARV,2002-07-20,0.6338,training
SJER,2002-07-20,0.2007,training
HARV,2002-08-05,0.6528,training
SJER,2002-08-05,0.1999,training
HARV,2002-08-21,0.7140000000000001,training
SJER,2002-08-21,0.1981,training
HARV,2002-09-06,0.6064,training
SJER,2002-09-06,0.2169,training
HARV,2002-09-22,0.5811000000000001,training
SJER,2002-09-22,0.2172,training
HARV,2002-10-08,0.5434,training
SJER,2002-10-08,0.2126,training
HARV,2002-10-24,0.3666,training
SJER,2002-10-24,0.2172,training
HARV,2002-11-09,0.32080000000000003,training
SJER,2002-11-09,0.33640000000000003,training
HARV,2002-11-25,0.2828,training
SJER,2002-11-25,0.3527,training
HARV,2002-12-11,0.1791,training
SJER,2002-12-11,0.33130000000000004,training
HARV,2002-12-27,0.0328,training
SJER,2002-12-27,0.3466,training
SJER,2003-01-09,0.3726,training
HARV,2003-01-25,0.2934,training
SJER,2003-01-25,0.3936,training
SJER,2003-02-10,0.3755,training
HARV,2003-02-26,0.2511,training
SJER,2003-02-26,0.434,training
HARV,2003-03-14,0.2933,training
SJER,2003-03-14,0.4362,training
HARV,2003-03-30,0.2726,training
SJER,2003-03-30,0.3808,training
HARV,2003-04-15,0.2783,training
SJER,2003-04-15,0.4172,training
HARV,2003-05-01,0.27540000000000003,training
SJER,2003-05-01,0.3065,training
HARV,2003-05-17,0.3693,training
SJER,2003-05-17,0.29610000000000003,training
HARV,2003-06-02,0.7139,training
SJER,2003-06-02,0.2371,training
HARV,2003-06-18,0.642,training
SJER,2003-06-18,0.2265,training
HARV,2003-07-04,0.7357,training
SJER,2003-07-04,0.2153,training
HARV,2003-07-20,0.6848000000000001,training
SJER,2003-07-20,0.2187,training
HARV,2003-08-05,0.5996,training
SJER,2003-08-05,0.2204,training
HARV,2003-08-21,0.5828,training
SJER,2003-08-21,0.2236,training
HARV,2003-09-06,0.5801000000000001,training
SJER,2003-09-06,0.2215,training
HARV,2003-09-22,0.6003000000000001,training
SJER,2003-09-22,0.2094,training
HARV,2003-10-08,0.4135,training
SJER,2003-10-08,0.2036,training
HARV,2003-10-24,0.3446,training
SJER,2003-10-24,0.2286,training
HARV,2003-11-09,0.2251,training
SJER,2003-11-09,0.268,training
HARV,2003-11-25,0.2675,training
SJER,2003-11-25,0.28240000000000004,training
HARV,2003-12-11,0.3831,training
SJER,2003-12-11,0.31980000000000003,training
HARV,2003-12-27,0.3922,training
SJER,2003-12-27,0.3299,training
HARV,2004-01-09,0.2112,training
SJER,2004-01-09,0.35300000000000004,training
SJER,2004-01-25,0.363,training
HARV,2004-02-10,0.1873,training
SJER,2004-02-10,0.3708,training
HARV,2004-02-26,0.249,training
SJER,2004-02-26,0.4237,training
HARV,2004-03-13,0.2434,training
SJER,2004-03-13,0.4467,training
HARV,2004-03-29,0.25170000000000003,training
SJER,2004-03-29,0.4153,training
HARV,2004-04-14,0.2191,training
SJER,2004-04-14,0.27190000000000003,training
HARV,2004-04-30,0.4557000000000001,training
SJER,2004-04-30,0.25520000000000004,training
HARV,2004-05-16,0.5087,training
SJER,2004-05-16,0.2496,training
HARV,2004-06-01,0.6766,training
SJER,2004-06-01,0.2368,training
HARV,2004-06-17,0.6731,training
SJER,2004-06-17,0.2327,training
HARV,2004-07-03,0.7182000000000001,training
SJER,2004-07-03,0.2375,training
HARV,2004-07-19,0.6295000000000001,training
SJER,2004-07-19,0.235,training
HARV,2004-08-04,0.6722,training
SJER,2004-08-04,0.231,training
HARV,2004-08-20,0.6338,training
SJER,2004-08-20,0.2279,training
HARV,2004-09-05,0.5346000000000001,training
SJER,2004-09-05,0.2216,training
HARV,2004-09-21,0.6331,training
SJER,2004-09-21,0.2272,training
HARV,2004-10-07,0.4313,training
SJER,2004-10-07,0.2277,training
HARV,2004-10-23,0.31070000000000003,training
SJER,2004-10-23,0.2728,training
HARV,2004-11-08,0.2419,training
SJER,2004-11-08,0.3242,training
HARV,2004-11-24,0.28290000000000004,training
SJER,2004-11-24,0.3693,training
HARV,2004-12-10,0.2445,training
SJER,2004-12-10,0.4111,training
HARV,2004-12-26,0.2544,training
SJER,2004-12-26,0.3983,training
HARV,2005-01-09,0.31620000000000004,training
SJER,2005-01-09,0.4427,training
HARV,2005-01-25,0.1583,training
SJER,2005-01-25,0.4285000000000001,training
HARV,2005-02-10,0.2121,training
SJER,2005-02-10,0.2321,training
HARV,2005-02-26,0.1668,training
SJER,2005-02-26,0.4761,training
HARV,2005-03-14,0.13870000000000002,training
SJER,2005-03-14,0.5523,training
HARV,2005-03-30,0.3084,training
SJER,2005-03-30,0.4522000000000001,training
HARV,2005-04-15,0.2807,training
SJER,2005-04-15,0.4258,training
HARV,2005-05-01,0.3619,training
SJER,2005-05-01,0.3599,training
HARV,2005-05-17,0.4479,training
SJER,2005-05-17,0.2984,training
HARV,2005-06-02,0.6937,training
SJER,2005-06-02,0.2393,training
HARV,2005-06-18,0.7516,training
SJER,2005-06-18,0.2287,training
HARV,2005-07-04,0.6775,training
SJER,2005-07-04,0.2153,training
HARV,2005-07-20,0.7121000000000001,training
SJER,2005-07-20,0.2121,training
HARV,2005-08-05,0.6847000000000001,training
SJER,2005-08-05,0.2103,training
HARV,2005-08-21,0.625,training
SJER,2005-08-21,0.2093,training
HARV,2005-09-06,0.5988,training
SJER,2005-09-06,0.2091,training
HARV,2005-09-22,0.6094,training
SJER,2005-09-22,0.2065,training
HARV,2005-10-08,0.3398,training
SJER,2005-10-08,0.2049,training
HARV,2005-10-24,0.4031,training
SJER,2005-10-24,0.2056,training
HARV,2005-11-09,0.3013,training
SJER,2005-11-09,0.2014,training
HARV,2005-11-25,0.31020000000000003,training
SJER,2005-11-25,0.188,training
SJER,2005-12-11,0.2857,training
HARV,2005-12-27,0.3859,training
SJER,2005-12-27,0.28800000000000003,training
HARV,2006-01-09,0.26330000000000003,training
SJER,2006-01-09,0.3797,training
HARV,2006-01-25,0.2654,training
SJER,2006-01-25,0.3807,training
HARV,2006-02-10,0.2072,training
SJER,2006-02-10,0.3657,training
HARV,2006-02-26,0.27490000000000003,training
SJER,2006-02-26,0.4109,training
HARV,2006-03-14,0.2647,training
SJER,2006-03-14,0.376,training
HARV,2006-03-30,0.25270000000000004,training
SJER,2006-03-30,0.4545,training
HARV,2006-04-15,0.27690000000000003,training
SJER,2006-04-15,0.4235,training
HARV,2006-05-01,0.30110000000000003,training
SJER,2006-05-01,0.4182,training
HARV,2006-05-17,0.5348,training
SJER,2006-05-17,0.3552,training
HARV,2006-06-02,0.6278,training
SJER,2006-06-02,0.2425,training
HARV,2006-06-18,0.6906,training
SJER,2006-06-18,0.2199,training
HARV,2006-07-04,0.6777000000000001,training
SJER,2006-07-04,0.2081,training
HARV,2006-07-20,0.6202000000000001,training
SJER,2006-07-20,0.2027,training
HARV,2006-08-05,0.6589,training
SJER,2006-08-05,0.201,training
HARV,2006-08-21,0.549,training
SJER,2006-08-21,0.1899,training
HARV,2006-09-06,0.5424,training
SJER,2006-09-06,0.1989,training
HARV,2006-09-22,0.5082,training
SJER,2006-09-22,0.2164,training
HARV,2006-10-08,0.4477,training
SJER,2006-10-08,0.2202,training
HARV,2006-10-24,0.27990000000000004,training
SJER,2006-10-24,0.1784,training
HARV,2006-11-09,0.33890000000000003,training
SJER,2006-11-09,0.2183,training
HARV,2006-11-25,0.2226,training
SJER,2006-11-25,0.1981,training
HARV,2006-12-11,0.2429,training
SJER,2006-12-11,0.25370000000000004,training
HARV,2006-12-27,0.2439,training
SJER,2006-12-27,0.3129,training
HARV,2007-01-09,0.2948,training
SJER,2007-01-09,0.3094,training
SJER,2007-01-25,0.2599,training
HARV,2007-02-10,0.1847,training
SJER,2007-02-10,0.3648,training
SJER,2007-02-26,0.4638000000000001,training
HARV,2007-03-14,0.2103,training
SJER,2007-03-14,0.4921,training
HARV,2007-03-30,0.2937,training
SJER,2007-03-30,0.4156,training
HARV,2007-04-15,0.2056,training
SJER,2007-04-15,0.3538,training
HARV,2007-05-01,0.4287,training
SJER,2007-05-01,0.2139,training
HARV,2007-05-17,0.7187,training
SJER,2007-05-17,0.2083,training
HARV,2007-06-02,0.684,training
SJER,2007-06-02,0.2001,training
HARV,2007-06-18,0.7053,training
SJER,2007-06-18,0.2039,training
HARV,2007-07-04,0.7194,training
SJER,2007-07-04,0.1961,training
HARV,2007-07-20,0.6792,training
SJER,2007-07-20,0.1928,training
HARV,2007-08-05,0.6123000000000001,training
SJER,2007-08-05,0.1887,training
HARV,2007-08-21,0.6101,training
SJER,2007-08-21,0.2022,training
HARV,2007-09-06,0.6368,training
SJER,2007-09-06,0.1996,training
HARV,2007-09-22,0.6206,training
SJER,2007-09-22,0.2077,training
HARV,2007-10-08,0.394,training
SJER,2007-10-08,0.1966,training
HARV,2007-10-24,0.3995,training
SJER,2007-10-24,0.1965,training
HARV,2007-11-09,0.2671,training
SJER,2007-11-09,0.1979,training
HARV,2007-11-25,0.2718,training
SJER,2007-11-25,0.203,training
HARV,2007-12-11,0.0567,training
SJER,2007-12-11,0.242,training
HARV,2007-12-27,0.2472,training
SJER,2007-12-27,0.2627,training
HARV,2008-01-09,0.2857,training
SJER,2008-01-09,0.3322,training
HARV,2008-01-25,0.1653,training
SJER,2008-01-25,0.3914,training
HARV,2008-02-10,0.171,training
SJER,2008-02-10,0.3683,training
HARV,2008-02-26,0.1763,training
SJER,2008-02-26,0.3582,training
HARV,2008-03-13,0.2851,training
SJER,2008-03-13,0.3902,training
HARV,2008-03-29,0.299,training
SJER,2008-03-29,0.368,training
HARV,2008-04-14,0.25,training
SJER,2008-04-14,0.32830000000000004,training
HARV,2008-04-30,0.4094,training
SJER,2008-04-30,0.2686,training
HARV,2008-05-16,0.6546000000000001,training
SJER,2008-05-16,0.24,training
HARV,2008-06-01,0.6766,training
SJER,2008-06-01,0.2078,training
HARV,2008-06-17,0.7349,training
SJER,2008-06-17,0.2252,training
HARV,2008-07-03,0.7298,training
SJER,2008-07-03,0.2046,training
HARV,2008-07-19,0.5955,training
SJER,2008-07-19,0.2127,training
HARV,2008-08-04,0.6743,training
SJER,2008-08-04,0.1992,training
HARV,2008-08-20,0.687,training
SJER,2008-08-20,0.191,training
HARV,2008-09-05,0.5976,training
SJER,2008-09-05,0.1911,training
HARV,2008-09-21,0.612,training
SJER,2008-09-21,0.1897,training
HARV,2008-10-07,0.5308,training
SJER,2008-10-07,0.2149,training
HARV,2008-10-23,0.3618,training
SJER,2008-10-23,0.2379,training
HARV,2008-11-08,0.3546,training
SJER,2008-11-08,0.2896,training
HARV,2008-11-24,0.3543,training
SJER,2008-11-24,0.3979,training
SJER,2008-12-10,0.4421000000000001,training
HARV,2008-12-26,0.3019,training
SJER,2008-12-26,0.4163,training
SJER,2009-01-09,0.3996,training
HARV,2009-01-25,0.1536,training
SJER,2009-01-25,0.4414,training
HARV,2009-02-10,0.1658,training
SJER,2009-02-10,0.4757,training
HARV,2009-02-26,0.34800000000000003,training
SJER,2009-02-26,0.4668000000000001,training
HARV,2009-03-14,0.2352,training
SJER,2009-03-14,0.4535,training
HARV,2009-03-30,0.2657,training
SJER,2009-03-30,0.4617,training
HARV,2009-04-15,0.2315,training
SJER,2009-04-15,0.3757,training
HARV,2009-05-01,0.4275000000000001,training
SJER,2009-05-01,0.2641,training
HARV,2009-05-17,0.6593,training
SJER,2009-05-17,0.2197,training
HARV,2009-06-02,0.6621,training
SJER,2009-06-02,0.2286,training
HARV,2009-06-18,0.644,training
SJER,2009-06-18,0.2087,training
HARV,2009-07-04,0.7258,training
SJER,2009-07-04,0.2103,training
HARV,2009-07-20,0.6436000000000001,training
SJER,2009-07-20,0.2093,training
HARV,2009-08-05,0.6168,training
SJER,2009-08-05,0.1976,training
HARV,2009-08-21,0.5657,training
SJER,2009-08-21,0.2042,training
HARV,2009-09-06,0.5681,training
SJER,2009-09-06,0.2024,training
HARV,2009-09-22,0.525,training
SJER,2009-09-22,0.2068,training
HARV,2009-10-08,0.343,training
SJER,2009-10-08,0.2456,training
HARV,2009-10-24,0.2922,training
SJER,2009-10-24,0.3311,training
HARV,2009-11-09,0.2786,training
SJER,2009-11-09,0.34690000000000004,training
HARV,2009-11-25,0.2452,training
SJER,2009-11-25,0.32880000000000004,training
HARV,2009-12-11,0.4641,training
SJER,2009-12-11,0.33840000000000003,training
SJER,2009-12-27,0.395,training
HARV,2010-01-09,0.1633,training
SJER,2010-01-09,0.378,training
HARV,2010-01-25,0.1297,training
SJER,2010-01-25,0.4277,training
HARV,2010-02-10,0.1829,training
SJER,2010-02-10,0.4236,training
HARV,2010-02-26,0.25320000000000004,training
SJER,2010-02-26,0.3697,training
HARV,2010-03-14,0.2543,training
SJER,2010-03-14,0.3724,training
HARV,2010-03-30,0.28850000000000003,training
SJER,2010-03-30,0.4507000000000001,training
HARV,2010-04-15,0.3478,training
SJER,2010-04-15,0.3858,training
HARV,2010-05-01,0.5141,training
SJER,2010-05-01,0.3393,training
HARV,2010-05-17,0.6601,training
SJER,2010-05-17,0.2833,training
HARV,2010-06-02,0.6748000000000001,training
SJER,2010-06-02,0.2349,training
HARV,2010-06-18,0.6175,training
SJER,2010-06-18,0.2198,training
HARV,2010-07-04,0.6106,training
SJER,2010-07-04,0.2122,training
HARV,2010-07-20,0.6611,training
SJER,2010-07-20,0.2073,training
HARV,2010-08-05,0.6275000000000001,training
SJER,2010-08-05,0.2053,training
HARV,2010-08-21,0.6193000000000001,training
SJER,2010-08-21,0.1964,training
HARV,2010-09-06,0.6256,training
SJER,2010-09-06,0.2036,training
HARV,2010-09-22,0.5731,training
SJER,2010-09-22,0.1974,training
HARV,2010-10-08,0.4994,training
SJER,2010-10-08,0.2248,training
HARV,2010-10-24,0.3105,training
SJER,2010-10-24,0.3646,training
HARV,2010-11-09,0.2467,training
SJER,2010-11-09,0.4311,training
HARV,2010-11-25,0.29200000000000004,training
SJER,2010-11-25,0.4089,training
HARV,2010-12-11,0.1226,training
SJER,2010-12-11,0.3561,training
HARV,2010-12-27,0.33290000000000003,training
SJER,2010-12-27,0.4053,training
SJER,2011-01-09,0.3811,training
HARV,2011-01-25,0.1879,training
SJER,2011-01-25,0.3918,training
HARV,2011-02-10,0.2037,training
SJER,2011-02-10,0.458,training
HARV,2011-02-26,0.25730000000000003,training
SJER,2011-02-26,0.3965,training
HARV,2011-03-14,0.2245,training
SJER,2011-03-14,0.4204,training
HARV,2011-03-30,0.25270000000000004,training
SJER,2011-03-30,0.3843,training
HARV,2011-04-15,0.235,training
SJER,2011-04-15,0.3768,training
HARV,2011-05-01,0.3932,training
SJER,2011-05-01,0.3613,training
HARV,2011-05-17,0.6642,training
SJER,2011-05-17,0.2491,training
HARV,2011-06-02,0.6994,training
SJER,2011-06-02,0.2218,training
HARV,2011-06-18,0.609,training
SJER,2011-06-18,0.2369,training
HARV,2011-07-04,0.6617000000000001,training
SJER,2011-07-04,0.2298,training
HARV,2011-07-20,0.6165,training
SJER,2011-07-20,0.2149,training
HARV,2011-08-05,0.678,training
SJER,2011-08-05,0.1972,training
HARV,2011-08-21,0.5854,training
SJER,2011-08-21,0.1865,training
HARV,2011-09-06,0.5135000000000001,training
SJER,2011-09-06,0.17370000000000002,training
HARV,2011-09-22,0.4744,training
SJER,2011-09-22,0.1895,training
HARV,2011-10-08,0.4751,training
SJER,2011-10-08,0.28800000000000003,training
HARV,2011-10-24,0.32180000000000003,training
SJER,2011-10-24,0.2319,training
HARV,2011-11-09,0.305,training
SJER,2011-11-09,0.3624,training
HARV,2011-11-25,0.2637,training
SJER,2011-11-25,0.32320000000000004,training
HARV,2011-12-11,0.2601,training
SJER,2011-12-11,0.2671,training
HARV,2011-12-27,0.3346,training
SJER,2011-12-27,0.2441,training
HARV,2012-01-09,0.2889,training
SJER,2012-01-09,0.2234,training
HARV,2012-01-25,0.2535,training
SJER,2012-01-25,0.2584,training
HARV,2012-02-10,0.2261,training
SJER,2012-02-10,0.2846,training
HARV,2012-02-26,0.258,training
SJER,2012-02-26,0.31120000000000003,training
HARV,2012-03-13,0.30760000000000004,training
SJER,2012-03-13,0.3262,training
HARV,2012-03-29,0.276,training
SJER,2012-03-29,0.3609,training
HARV,2012-04-14,0.2851,training
SJER,2012-04-14,0.3945,training
HARV,2012-04-30,0.4406000000000001,training
SJER,2012-04-30,0.3005,training
HARV,2012-05-16,0.6042000000000001,training
SJER,2012-05-16,0.229,training
HARV,2012-06-01,0.6287,training
SJER,2012-06-01,0.2224,training
HARV,2012-06-17,0.6361,training
SJER,2012-06-17,0.212,training
HARV,2012-07-03,0.7068,training
SJER,2012-07-03,0.2157,training
HARV,2012-07-19,0.6631,training
SJER,2012-07-19,0.2149,training
HARV,2012-08-04,0.5729000000000001,training
SJER,2012-08-04,0.224,training
HARV,2012-08-20,0.5639000000000001,training
SJER,2012-08-20,0.2109,training
HARV,2012-09-05,0.5306000000000001,training
SJER,2012-09-05,0.1947,training
HARV,2012-09-21,0.3918,training
SJER,2012-09-21,0.2039,training
HARV,2012-10-07,0.422,training
SJER,2012-10-07,0.2109,training
HARV,2012-10-23,0.219,training
SJER,2012-10-23,0.2045,training
HARV,2012-11-08,0.2772,training
SJER,2012-11-08,0.2127,training
HARV,2012-11-24,0.244,training
SJER,2012-11-24,0.2464,training
HARV,2012-12-10,0.2455,training
SJER,2012-12-10,0.30410000000000004,training
HARV,2012-12-26,0.3249,training
SJER,2012-12-26,0.3088,training
HARV,2013-01-09,0.224,training
SJER,2013-01-09,0.3038,training
HARV,2013-01-25,0.1085,training
SJER,2013-01-25,0.3482,training
HARV,2013-02-10,0.1584,training
SJER,2013-02-10,0.3294,training
HARV,2013-02-26,0.1592,training
SJER,2013-02-26,0.3612,training
HARV,2013-03-14,0.1637,training
SJER,2013-03-14,0.3845,training
HARV,2013-03-30,0.25470000000000004,training
SJER,2013-03-30,0.33130000000000004,training
HARV,2013-04-15,0.2392,training
SJER,2013-04-15,0.2989,training
HARV,2013-05-01,0.302,training
SJER,2013-05-01,0.254,training
HARV,2013-05-17,0.6387,training
SJER,2013-05-17,0.2109,training
HARV,2013-06-02,0.5768,training
SJER,2013-06-02,0.208,training
HARV,2013-06-18,0.6985,training
SJER,2013-06-18,0.218,training
HARV,2013-07-04,0.5971000000000001,training
SJER,2013-07-04,0.1977,training
HARV,2013-07-20,0.6733,training
SJER,2013-07-20,0.2287,training
HARV,2013-08-05,0.5801000000000001,training
SJER,2013-08-05,0.198,training
HARV,2013-08-21,0.5274,training
SJER,2013-08-21,0.2004,training
HARV,2013-09-06,0.5492,training
SJER,2013-09-06,0.1941,training
HARV,2013-09-22,0.5652,training
SJER,2013-09-22,0.1947,training
